iter	Passed	Remaining
0	0	38
1	0	34
2	0	31
3	1	28
4	1	34
5	2	36
6	2	37
7	3	36
8	3	35
9	3	33
10	4	32
11	4	31
12	4	30
13	4	29
14	5	28
15	5	28
16	5	27
17	5	26
18	6	26
19	6	26
20	6	25
21	7	25
22	7	24
23	7	24
24	8	24
25	8	24
26	8	24
27	9	24
28	9	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	13	17
44	14	17
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	15	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	5
81	25	5
82	25	5
83	26	5
84	26	4
85	26	4
86	27	4
87	27	3
88	27	3
89	28	3
90	28	2
91	28	2
92	28	2
93	29	1
94	29	1
95	29	1
96	30	0
97	30	0
98	30	0
99	31	0
